TransactionAmount,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,TransactionAmount_Encoded,Target
14.089999999999975,70.0,81.0,1.0,5112.21,94,2
376.24,68.0,141.0,1.0,13758.91,1595,1
126.29000000000002,19.0,56.0,1.0,1122.35,774,0
184.5,26.0,25.0,1.0,8569.06,1006,0
92.15,18.0,172.0,1.0,781.6800000000003,597,2
7.079999999999984,37.0,139.0,1.0,13316.71,37,2
171.42,67.0,291.0,1.0,2796.24,960,0
106.23000000000002,51.0,86.0,1.0,9095.14,672,2
815.96,55.0,120.0,1.0,1021.8800000000006,2088,1
17.779999999999973,52.0,59.0,1.0,7599.52,119,2
190.02,21.0,173.0,1.0,1528.81,1028,0
494.52,24.0,111.0,1.0,1620.02,1809,1
781.76,26.0,123.0,1.0,189.6899999999996,2071,1
166.99,18.0,134.0,1.0,299.9300000000003,937,0
465.45,36.0,129.0,1.0,3465.54,1765,1
555.8,19.0,158.0,1.0,1131.2600000000002,1880,1
492.93,39.0,234.0,1.0,5109.97,1806,1
18.680000000000007,59.0,106.0,1.0,7948.37,130,2
71.48000000000005,18.0,169.0,1.0,6568.59,475,2
59.31999999999999,71.0,38.0,1.0,5750.89,410,2
85.76999999999995,38.0,93.0,1.0,9146.19,572,2
52.19999999999999,39.0,120.0,1.0,8974.93,355,2
145.54,21.0,96.0,1.0,1930.96,859,0
7.490000000000009,65.0,276.0,1.0,3634.67,39,2
40.31999999999999,37.0,95.0,1.0,2686.52,283,2
127.44999999999999,44.0,197.0,1.0,1772.06,779,0
56.170000000000016,27.0,283.0,1.0,1351.69,389,2
28.310000000000002,59.0,20.0,1.0,8334.47,200,2
59.12000000000003,29.0,257.0,1.0,9823.64,409,2
877.81,22.0,150.0,1.0,399.0,2121,1
255.26,45.0,50.0,1.0,14815.87,1254,0
124.75999999999999,49.0,45.0,1.0,5764.72,765,0
78.13,26.0,145.0,1.0,900.6099999999997,523,2
335.63,55.0,216.0,1.0,1019.3899999999999,1499,1
328.47,63.0,119.0,1.0,4323.66,1472,1
34.01999999999998,38.0,19.0,1.0,14214.48,237,2
241.42,57.0,116.0,1.0,13357.02,1212,0
55.31999999999999,19.0,117.0,1.0,241.78999999999996,380,2
304.31,27.0,33.0,1.0,868.6099999999997,1403,0
435.27,74.0,90.0,1.0,4673.28,1721,1
164.49,26.0,75.0,1.0,1509.27,925,0
510.24,19.0,105.0,1.0,781.6999999999998,1834,1
626.9,26.0,138.0,1.0,265.5100000000002,1948,1
22.00999999999999,41.0,175.0,1.0,1335.0900000000001,154,2
425.34,69.0,121.0,1.0,3907.54,1696,1
424.56,51.0,264.0,1.0,5183.85,1693,1
85.43,67.0,145.0,1.0,14904.9,570,2
169.5,28.0,142.0,1.0,918.8800000000001,949,0
104.63,62.0,90.0,1.0,4477.78,667,2
316.95,25.0,83.0,1.0,1324.0299999999997,1440,1
60.539999999999964,57.0,52.0,1.0,3534.93,415,2
292.56,68.0,61.00000000000001,1.0,4638.37,1362,0
386.52,48.0,27.999999999999986,1.0,5630.61,1620,1
112.07,23.0,51.0,1.0,930.3000000000002,699,2
568.52,46.0,152.0,1.0,5499.91,1893,1
349.64,48.0,226.0,1.0,6651.62,1536,1
601.4,56.0,104.0,1.0,8458.29,1927,1
5.769999999999982,50.0,124.0,1.0,13988.12,33,2
201.33,42.0,186.0,1.0,2585.07,1066,0
298.42,56.0,225.0,1.0,3014.75,1382,0
521.06,25.0,128.0,1.0,1951.42,1849,1
117.28,60.0,16.0,1.0,3665.77,727,0
189.12,32.0,103.0,1.0,977.0100000000002,1024,0
133.55000000000004,44.0,220.0,1.0,3846.28,803,0
143.21,35.0,135.0,1.0,6374.82,852,0
24.769999999999982,62.0,55.0,1.0,5866.01,175,2
233.92,26.0,280.0,1.0,6537.62,1190,0
232.12,37.0,51.0,1.0,6689.87,1182,0
91.53,44.0,69.0,1.0,14676.05,592,2
120.29000000000002,19.0,77.0,1.0,1362.3900000000003,742,0
174.25,50.0,67.0,1.0,10528.34,970,0
183.71,38.0,102.0,1.0,552.5200000000004,1005,0
345.39,58.0,80.0,1.0,6451.96,1520,1
259.91,49.0,170.0,1.0,7176.86,1268,0
154.71,34.0,157.0,1.0,1523.7200000000003,895,0
24.560000000000002,64.0,69.0,1.0,9869.93,174,2
568.07,48.0,115.0,1.0,10556.81,1892,1
9.610000000000014,58.0,179.0,1.0,12883.91,57,2
392.96,24.0,100.0,1.0,791.6499999999996,1640,1
716.93,60.0,34.0,1.0,4064.02,2016,1
230.66,21.0,135.0,1.0,618.0500000000002,1176,0
644.17,29.0,72.0,1.0,1143.5199999999995,1973,1
508.68,51.0,127.0,1.0,7708.41,1832,1
858.63,27.0,185.0,1.0,1872.96,2109,1
25.360000000000014,57.0,78.0,1.0,201.03999999999996,179,2
147.62,71.0,133.0,1.0,2115.8,867,0
115.01999999999998,37.0,175.0,1.0,7643.66,712,0
383.37,30.0,24.0,1.0,8901.93,1612,1
98.54000000000002,20.0,167.0,1.0,9383.43,630,2
83.23999999999998,55.0,164.0,1.0,1181.3100000000004,556,2
196.16,27.0,146.0,1.0,9418.86,1048,0
129.94,32.0,235.0,1.0,7954.92,787,0
306.9,46.0,51.0,1.0,9418.08,1412,0
114.98000000000002,59.0,80.0,1.0,6144.68,711,0
756.59,27.0,17.0,1.0,420.64999999999964,2047,1
503.76,22.0,35.0,1.0,447.8199999999997,1819,1
143.03,63.0,147.0,1.0,7981.45,851,0
245.54,25.0,180.0,1.0,985.0599999999995,1223,0
254.37,51.0,174.0,1.0,8849.26,1249,0
213.76,78.0,282.0,1.0,3528.72,1116,0
327.86,40.0,104.0,1.0,480.15999999999985,1469,1
2.5,47.0,107.0,1.0,12145.27,12,2
300.08,68.0,47.0,1.0,13546.75,1387,0
407.65,26.0,62.0,1.0,8346.64,1658,1
115.82999999999998,39.0,167.0,1.0,6481.04,716,0
53.56999999999999,69.0,121.0,1.0,1651.33,364,2
63.34,46.0,165.0,1.0,11174.94,428,2
317.87,27.0,91.0,1.0,145.5,1444,1
331.65,41.0,61.00000000000001,1.0,4172.57,1482,1
5.0400000000000205,56.0,41.0,1.0,5558.36,26,2
214.54,70.0,247.0,1.0,11151.53,1118,0
598.81,57.0,158.0,1.0,1415.52,1926,1
841.28,26.0,80.0,1.0,1103.6400000000003,2100,1
38.14999999999998,26.0,108.0,1.0,303.6800000000003,269,2
124.72,33.0,105.0,1.0,6309.8,763,0
302.45,78.0,40.0,1.0,5133.61,1396,0
208.04,47.0,273.0,1.0,9344.98,1092,0
5.769999999999982,23.0,254.0,1.0,1117.9699999999998,33,2
381.33,56.0,75.0,1.0,11835.35,1608,1
16.160000000000025,50.0,124.0,1.0,14401.17,104,2
486.08,18.0,68.0,1.0,1748.69,1792,1
336.39,21.0,18.0,1.0,1000.46,1503,1
234.57,23.0,120.0,1.0,263.97999999999956,1191,0
6.0,30.0,246.0,1.0,5442.76,35,2
227.14,18.0,294.0,1.0,341.9399999999996,1164,0
233.74,66.0,17.0,1.0,1066.5900000000001,1189,0
45.849999999999994,20.0,92.0,1.0,1659.15,307,2
415.5,66.0,141.0,1.0,10113.66,1672,1
265.76,54.0,92.0,1.0,4446.17,1285,0
69.4,80.0,113.0,1.0,6452.77,467,2
332.93,35.0,293.0,1.0,2788.2,1489,1
267.9,20.0,160.0,1.0,596.1599999999999,1290,0
496.03,61.0,265.0,1.0,12904.66,1811,1
376.26,37.0,245.0,1.0,9062.4,1596,1
83.01999999999998,36.0,171.0,1.0,9009.56,554,2
93.25999999999999,20.0,72.0,1.0,1152.1999999999998,603,2
803.37,68.0,129.0,1.0,12168.37,2084,1
35.75999999999999,23.0,122.0,1.0,611.8599999999997,248,2
28.529999999999973,62.0,99.0,1.0,8670.53,204,2
139.53,53.0,177.0,1.0,10098.86,838,0
307.57,33.0,285.0,1.0,5307.74,1414,0
60.650000000000006,56.0,53.0,1.0,1047.2799999999997,416,2
74.86000000000001,70.0,125.0,1.0,6921.48,502,2
231.91,34.0,165.0,1.0,112.76000000000022,1180,0
126.20999999999998,75.0,268.0,1.0,5669.66,773,0
304.35,31.0,36.0,1.0,4057.1,1404,0
281.85,22.0,109.0,1.0,1585.98,1328,0
777.88,31.0,17.0,1.0,6825.55,2067,1
119.18,56.0,96.0,1.0,5516.5,737,0
177.19,76.0,43.000000000000014,1.0,5343.3,981,0
260.88,22.0,36.0,1.0,903.0500000000002,1271,0
169.47,24.0,19.0,1.0,1806.1599999999999,948,0
73.23000000000002,26.0,13.999999999999986,1.0,787.7399999999998,487,2
792.57,19.0,164.0,1.0,770.3699999999999,2076,1
237.06,71.0,46.0,1.0,1182.7699999999995,1200,0
34.170000000000016,54.0,54.0,1.0,726.5500000000002,240,2
740.25,41.0,123.0,1.0,14464.3,2037,1
453.54,58.0,82.0,1.0,12046.3,1753,1
300.47,73.0,100.0,1.0,7885.64,1388,0
110.93,19.0,201.0,1.0,1952.35,690,2
201.69,59.0,299.0,1.0,7328.52,1069,0
399.21,59.0,109.0,1.0,3210.39,1650,1
630.36,62.0,52.0,1.0,1363.65,1952,1
10.939999999999998,60.0,245.0,1.0,1241.9899999999998,66,2
215.9,38.0,235.0,1.0,7873.28,1126,0
226.37,49.0,141.0,1.0,9840.04,1162,0
444.89,43.0,101.0,1.0,10328.23,1739,1
280.57,25.0,24.0,1.0,293.2399999999998,1324,0
488.54,52.0,132.0,1.0,7486.63,1798,1
3.3000000000000114,50.0,131.0,1.0,11385.37,14,2
199.39,69.0,165.0,1.0,7264.79,1060,0
20.360000000000014,62.0,75.0,1.0,2762.48,141,2
493.11,53.0,236.0,1.0,7432.99,1807,1
307.41,19.0,13.999999999999986,1.0,1057.0000000000005,1413,0
11.180000000000007,43.0,161.0,1.0,5956.89,70,2
313.82,59.0,151.0,1.0,7261.59,1432,1
140.98,60.0,100.0,1.0,8127.48,842,0
288.04,68.0,63.0,1.0,1748.02,1345,0
800.55,31.0,108.0,1.0,9660.22,2082,1
485.54,46.0,143.0,1.0,6371.51,1791,1
521.15,54.0,214.0,1.0,9442.47,1850,1
304.93,65.0,158.0,1.0,13531.22,1406,0
432.08,40.0,145.0,1.0,11500.62,1712,1
694.2,61.0,72.0,1.0,1389.37,2003,1
116.86000000000001,55.0,171.0,1.0,6706.56,722,0
74.88,25.0,202.0,1.0,420.6700000000001,503,2
890.24,33.0,161.0,1.0,5140.93,2131,1
361.27,63.0,180.0,1.0,7945.57,1562,1
131.56,44.0,42.0,1.0,5873.54,793,0
485.51,76.0,37.0,1.0,3074.45,1790,1
547.87,64.0,131.0,1.0,6155.76,1875,1
457.3,28.0,15.0,1.0,8318.29,1757,1
506.24,58.0,64.0,1.0,230.09000000000015,1826,1
486.59,57.0,119.0,1.0,2513.56,1793,1
163.68,41.0,292.0,1.0,10090.05,923,0
581.65,22.0,176.0,1.0,480.1899999999996,1904,1
52.01000000000002,48.0,85.0,1.0,1120.8799999999997,353,2
630.24,21.0,62.0,1.0,370.8100000000004,1951,1
523.74,43.0,159.0,1.0,13498.55,1853,1
217.5,46.0,35.0,1.0,3057.4,1130,0
91.48000000000002,51.0,141.0,1.0,14942.78,590,2
5.25,39.0,49.0,1.0,14143.32,28,2
54.03,56.0,161.0,1.0,6736.3,366,2
736.73,48.0,10.0,1.0,3313.07,2031,1
368.91,54.0,13.999999999999986,1.0,829.71,1580,1
33.06,53.0,170.0,1.0,1540.87,230,2
66.5,32.0,144.0,1.0,6820.23,448,2
177.08,35.0,85.0,1.0,13475.14,980,0
